1763291482.729478 client started (454356): version 3.2a, socket /tmp/tmux-1000/default, protocol 8
1763291482.729548 on Linux 6.16.3-76061603-generic #202508231538~1758561135~22.04~171c8de SMP PREEMPT_DYNAMIC Mon S
1763291482.729561 using libevent 2.1.12-stable (poll); ncurses 6.3
1763291482.729600 flags are 0x18010000
1763291482.729607 socket is /tmp/tmux-1000/default
1763291482.729628 trying connect
1763291482.729776 add peer 0x630a558b0160: 6 ((nil))
1763291482.730089 sending message 100 to peer 0x630a558b0160 (4 bytes)
1763291482.730091 sending message 111 to peer 0x630a558b0160 (8 bytes)
1763291482.730093 sending message 101 to peer 0x630a558b0160 (15 bytes)
1763291482.730094 sending message 109 to peer 0x630a558b0160 (4 bytes)
1763291482.730095 sending message 102 to peer 0x630a558b0160 (11 bytes)
1763291482.730096 sending message 108 to peer 0x630a558b0160 (27 bytes)
1763291482.730097 sending message 112 to peer 0x630a558b0160 (58 bytes)
1763291482.730098 sending message 112 to peer 0x630a558b0160 (5 bytes)
1763291482.730099 sending message 112 to peer 0x630a558b0160 (5 bytes)
1763291482.730101 sending message 112 to peer 0x630a558b0160 (6 bytes)
1763291482.730102 sending message 112 to peer 0x630a558b0160 (6 bytes)
1763291482.730103 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730104 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730105 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730106 sending message 112 to peer 0x630a558b0160 (14 bytes)
1763291482.730107 sending message 112 to peer 0x630a558b0160 (19 bytes)
1763291482.730108 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730109 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730110 sending message 112 to peer 0x630a558b0160 (15 bytes)
1763291482.730111 sending message 112 to peer 0x630a558b0160 (21 bytes)
1763291482.730112 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730113 sending message 112 to peer 0x630a558b0160 (7 bytes)
1763291482.730114 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730115 sending message 112 to peer 0x630a558b0160 (7 bytes)
1763291482.730116 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730117 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730119 sending message 112 to peer 0x630a558b0160 (21 bytes)
1763291482.730119 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730120 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730121 sending message 112 to peer 0x630a558b0160 (16 bytes)
1763291482.730122 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730123 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730124 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730126 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730127 sending message 112 to peer 0x630a558b0160 (8 bytes)
1763291482.730127 sending message 112 to peer 0x630a558b0160 (8 bytes)
1763291482.730128 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730129 sending message 112 to peer 0x630a558b0160 (7 bytes)
1763291482.730130 sending message 112 to peer 0x630a558b0160 (7 bytes)
1763291482.730131 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730132 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730133 sending message 112 to peer 0x630a558b0160 (15 bytes)
1763291482.730134 sending message 112 to peer 0x630a558b0160 (13 bytes)
1763291482.730135 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730137 sending message 112 to peer 0x630a558b0160 (8 bytes)
1763291482.730138 sending message 112 to peer 0x630a558b0160 (14 bytes)
1763291482.730139 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730140 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730141 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730142 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730143 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730147 sending message 112 to peer 0x630a558b0160 (10 bytes)
1763291482.730148 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730149 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730150 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730151 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730152 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730153 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730154 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730155 sending message 112 to peer 0x630a558b0160 (11 bytes)
1763291482.730156 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730157 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730158 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730159 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730160 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730161 sending message 112 to peer 0x630a558b0160 (9 bytes)
1763291482.730162 sending message 112 to peer 0x630a558b0160 (12 bytes)
1763291482.730163 sending message 112 to peer 0x630a558b0160 (13 bytes)
